"smiles","drug_label"
"OC(=O)CCCC[C@@H]1SC[C@H]2NC(=N)N[C@@H]12","2-Iminobiotin (DB03353)"
"O[C@@H]1COC(=C[C@H]1O)C(O)=O","2,6-Anhydro-3-Deoxy-D-Erythro-Hex-2-Enonic Acid (DB03284)"
"CC(C)C[C@@H](NC(=O)OCC1=CC=CC=C1)C(=O)N[C@@H]1CN(CC1=O)C(=O)[C@@H](CC(C)C)NC(=O)OCC1=CC=CC=C1","1-[N[(Phenylmethoxy)Carbonyl]-L-Leucyl-4-[[N/N-[(Phenylmethoxy)Carbonyl]-/Nl-Leucyl]Amino]-3-Pyrrolidinone/N (DB03405)"
"O[C@H]1[C@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@@H]1OP(O)(O)=O","Inositol-(1,3,4,5,6)-Pentakisphosphate (DB03344)"
"CC(C)(COP(O)(=O)OP(O)(=O)OC[C@@H]1O[C@H]([C@H](O)[C@H]1OP(O)(O)=O)N1C=NC2=C(N)N=CN=C12)[C@@H](O)C(=O)NCCC(=O)NCCSCC(=O)NCCC1=CNC2=C1C=C(Br)C=C2","Coa-S-Acetyl 5-Bromotryptamine (DB03341)"
"OC[C@@H]1O[C@H](O)[C@H](O)[C@H]1O","Beta-L-Arabinose (DB03246)"
"NC1=NC=NC2=C1N=CN2[C@H]1O[C@@H](CO)C(=O)[C@@H]1O","3'-Oxo-Adenosine (DB03273)"
"CC(C)(CO[P@](O)(=O)O[P@@](O)(=O)OC[C@@H]1O[C@H]([C@H](O)[C@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCC[N](O)=O","S-4-Nitrobutyryl-Coa (DB03245)"
"O[C@@H](CC(=O)C([O-])=O)[C@@H](O)C([O-])=O","2,3-Dihydroxy-5-Oxo-Hexanedioate (DB03237)"
"CCC1=CC=CC=C1","Ethylbenzene (DB01722)"
"NC1=CC=CC=C1F","2-Fluoroaniline (DB02403)"
"NC1=CC(F)=CC(F)=C1","3,5-Difluoroaniline (DB03238)"
"CC1=CC=CC(CC=C)=C1O","2-Allyl-6-Methyl-Phenol (DB03301)"
"CCCCN1C(CC2=CC(OC)=CC=C2OC)=NC2=C(N)N=CN=C12","9-Butyl-8-(2,5-Dimethoxy-Benzyl)-9h-Purin-6-Ylamine (DB02359)"
"CCCCCC=CCC=CCC=CCC=CCCCC[P@@](F)(=O)OC","Methoxy arachidonyl fluorophosphonate (DB02465)"
"NC[C@@H]1CCCN1","(2s)-Pyrrolidin-2-Ylmethylamine (DB03253)"
"[H][P@@](=O)(CCCCCCCCCCC)OCCCC","Undecyl-Phosphinic Acid Butyl Ester (DB02457)"
"[H][C@@](CC(C)C)(NC(C)=O)[C@]1([H])O[C@]([H])(C[C@@]1([H])C(=O)OC)C(O)=O","5-[1-(Acetylamino)-3-Methylbutyl]-2,5-Anhydro-3,4-Dideoxy-4-(Methoxycarbonyl)Pentonic Acid (DB03257)"
"CC(=O)N[C@@H]1[C@@H](N)C=C(O[C@H]1[C@H](O)[C@@H](O)CO)C(O)=O","4-Amino-2-Deoxy-2,3-Dehydro-N-Neuraminic Acid (DB03321)"
"[H][C@](CC(O)=O)(NC(=O)C1=CC(=CS1)C1=CC=C(C=C1)C1=CC=NC=C1)C1=CC=CC=C1","PF-00356231 (DB03367)"
"SCCC(=O)N1CCC2=C(C1)NC1=C2C=CC=C1","3-Mercapto-1-(1,3,4,9-Tetrahydro-B-Carbolin-2-Yl)-Propan-1-One (DB03372)"
"CC(=O)N[C@@H](CC1=CC=C(OP(O)(O)=O)C(C=O)=C1)C(=O)N[C@@H]1CCCCN(CC2=CC=C(C=C2)C2=CC=CC=C2)C1=O","RU84687 (DB01678)"
"CC(=O)N[C@@H](CC1=CC=C(C(=C1)P(O)(O)=O)P(O)(O)=O)C(=O)N[C@@H]1CCCCN(CC2=CC=C(C=C2)C2=CC=CC=C2)C1=O","RU83876 (DB02336)"
"COC(=O)C1=CC(C[C@@H](NC(C)=O)C(=O)N[C@@H]2CCCCN(CC3=CC=C(C=C3)C3=CC=CC=C3)C2=O)=CC=C1C(F)(C(O)=O)C(O)=O","RU90395 (DB02432)"
"CC(=O)N[C@@H](CC1=CC=C(C(O)=O)C(C=O)=C1)C(=O)N[C@@H]1CCCCN(CC2=CC=C(C=C2)C2=CC=CC=C2)C1=O","RU82197 (DB03268)"
"OP(O)(=O)OC1=CC=CC=C1","Phenylphosphate (DB03298)"
"COC1=CC=CC(C=O)=C1OP(O)(O)=O","RU78300 (DB03306)"
"NC1=CC2=C(C=CC=C2)C2=C1C=CC=C2","9-Aminophenanthrene (DB03369)"
"NC1=CC=C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C=C1","P-Aminophenyl-Alpha-D-Galactopyranoside (DB03242)"
"COC(=O)NCCCCCC(=O)N[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O","Bmsc-0013 (DB02474)"
"O[C@H](C(O)=O)C1=CC=CC=C1","(S)-Mandelic Acid (DB03357)"
"CC1=NC=CN1CCCCC1=CC=C(CC(=O)N[C@H](CO)C(=O)N[C@H](CCCCN)C(=O)NCCC2CCCCC2)C=C1","[Cyclohexylethyl]-[[[[4-[2-Methyl-1-Imidazolyl-Butyl]Phenyl]Acetyl]-Seryl]-Lysinyl]-Amine (DB02477)"
"N[C@@H](CCCCO)C(O)=O","6-Hydroxy-L-Norleucine (DB03412)"
"CCOP(=O)(OCC)OCC","Triethyl Phosphate (DB03347)"
"CN(CCCCCCOC1=CC=C2C(OC=C2C2=CC=C(Br)C=C2)=C1)CC=C","Allyl-{6-[3-(4-Bromo-Phenyl)-Benzofuran-6-Yloxy]-Hexyl-}-Methyl-Amin (DB02339)"
"c1ncc(n1)C1=CC=CC=C1","4-Phenyl-1h-Imidazole (DB03254)"
"ClC1=CC=CC(CNCCC2=CC=C(NC(=N)C3=CC=CS3)C=C2)=C1","N-(4-(2-((3-Chlorophenylmethyl)Amino)Ethyl)Phenyl)-2-Thiophecarboxamidine (DB03449)"
"NC(=O)C1=CC=C[N+](=C1)[C@@H]1O[C@@H](CO[P@]([O-])(=O)O[P@@](O)(=O)OC[C@@H]2O[C@H]([C@H](OP(O)(O)=O)[C@H]2O)N2C=NC3=C2N=CN=C3N)[C@H](O)[C@H]1O","2'-Monophosphoadenosine 5'-Diphosphoribose (DB03461)"
"CCC(O)(CC)CCCO[C@@H](C)[C@H]1CC[C@@H]2C(CCC[C@@]12C)=C/C=C1/C[C@H](O)C[C@@H](O)C1=C","1-alpha, 25-dihydroxyl-20-epi-22-oxa-24, 26 ,27-trihomovitamin D3 (DB03451)"
"CC1=NN(C(O)=C1N=NC1=CC(=CC=C1C(O)=O)S(O)(=O)=O)C1=CC=C(C=C1C)S(O)(=O)=O","2-[5-Hydroxy-3-Methyl-1-(2-Methyl-4-Sulfo-Phenyl)-1h-Pyrazol-4-Ylazo]-4-Sulfo-Benzoic Acid (DB03442)"
"OC(=O)C[C@@H](NC(=O)CP(O)(O)=O)C(O)=O","N-(phosphonacetyl)-L-aspartic acid (DB03459)"
"NC1=NC=NC2=C1N=CN2[C@@H]1O[C@@H](CO[P@@](O)(=O)O[C@@H]2[C@@H](O)[C@H](CO)O[C@H]2N2C=CC(=O)NC2=O)[C@H](O)[C@H]1O","Uridylyl-2'-5'-Phospho-Adenosine (DB03447)"
"OC[C@H]1O[C@H](C[C@@H]1OP(O)(O)=O)N1C=CC(=O)NC1=O","2'-Deoxyuridine 3'-Monophosphate (DB03448)"
"CCCCCCCCCCCCCCCCCC(=O)OC[C@H](CO[P@@](O)(=O)OCC(O)CO[P@](O)(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC","Cardiolipin (DB03429)"
"C[C@@H](C[C@H](N)C([OH2+])=O)C(O)=O","2s,4r-4-Methylglutamate (DB03425)"
"O[C@@H]1[C@@H](O)[C@@H](O[C@H]1CO[P@](O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O","Uridine-5'-Diphosphate (DB03435)"
"COC1=CC=C2NC(=O)C(=C/C3=CN=CN3)C2=C1","SU9516 (DB03428)"
"CC1=[O][Ga]2345ON1CCC[C@H]1NC(=O)CNC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](CCCN(O2)C(C)=[O]3)NC(=O)C(CCCN(O4)C(C)=[O]5)NC1=O","Gallichrome (DB03436)"
"CC(C)(C)NC(=O)N1CCN(CC1)C(=O)N[C@H]([C@@H](CCCNC(N)=N)C=O)C(O)=O","1-(4-Tert-Butylcarbamoyl-Piperazine-1-Carbonyl)-3-(3-Guanidino-Propyl)-4-Oxo-Azetidine-2-Carboxylic Acid (DB03417)"
"NC(N)C1=CC2=C(C=C1)N([Zn])C(=N2)C(=O)c1nc2ccc(cc2n1)C(N)N","Bis(5-Amidino-Benzimidazolyl)Methanone Zinc (DB03443)"
"O=C1NC=CC(=O)N1","Uracil (DB03419)"
"C[C@H](CNCC1=C(O)C(C)=NC=C1COP(O)(O)=O)OP(O)(O)=O","{3-[(3-Hydroxy-2-Methyl-5-Phosphonooxymethyl-Pyridin-4-Ylmethyl)-Amino]-2-Methyl-Propyl}-Phosphonic Acid (DB03433)"
"C[C@@H]1O[C@H](O)[C@@H](O)[C@H](O)[C@H]1N","4,6-Dideoxy-4-Amino-Alpha-D-Glucose (DB03439)"
"CCCCCCCCCCCCCCCC(=O)NCC(O)=O","N-Hexadecanoylglycine (DB03440)"
"[H][C@@](NC(=O)CC1=CC=CS1)(C=O)[C@]1([H])NC(C(O)=O)=C(CC(=O)OC)CS1","Cephalothin Group (DB03450)"
"N[C@@H](CC[Se]C[C@@H]1O[C@H]([C@H](O)[C@H]1O)N1C=NC2=C1N=CN=C2N)C(O)=O","S-Adenosyl-L-Homoselenocysteine (DB03423)"
"OS(=O)(=O)CCCN1CCOCC1","3[N-Morpholino]Propane Sulfonic Acid (DB03434)"
"ON=C1C(NC2=C1C=CC=C2)=C1C(=O)NC2=C1C=CC(Br)=C2","(3e)-6'-Bromo-2,3'-Biindole-2',3(1h,1'h)-Dione 3-Oxime (DB03444)"
"CC(C)C[C@@H](NC(=O)[C@@H](O)[C@H](N)CC1=CC=CC=C1)C(O)=O","Bestatin (DB03424)"
"N[C@@H]1S[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O","5-Thio-a/B-D-Mannopyranosylamine (DB03414)"
"C[Si](C)(C)[C@@H](CC(O)=O)C(O)=O","3-Trimethylsilylsuccinic Acid (DB03452)"
"CON=C(C(=O)N[C@H](C=O)[C@@H]1N[C@H](C(O)=O)C(C)(C)S1)C1=CSC(N)=N1","2-{1-[2-(2-Amino-Thiazol-4-Yl)-2-Methoxyimino-Acetylamino]-2-Oxo-Ethyl}-5,5-Dimethyl-Thiazolidine-4-Carboxylic Acid (DB03437)"
"CC1=CC=CC(O)=C1O","3-methyl-benzene-1,2-diol (DB03454)"
"CC1=C(CCO[P@](O)([O-])=O)SC=[N+]1CC1=CN=C(C)N=C1N","Thiamin Phosphate (DB03416)"
"[H][C@@](CC(C)C)(NC(=O)OCC1=CC=CC=C1)C(=O)N[C@]1([H])CCN(C1)C#N","N2-[(benzyloxy)carbonyl]-n1-[(3S)-1-cyanopyrrolidin-3-yl]-l-leucinamide (DB03456)"
"CC(=O)N[C@H]1[C@@H](C[C@@H](O[C@H]1[C@H](O)[C@@H](O)CO)C(O)=O)NC(N)=N","2,4-Deoxy-4-Guanidino-5-N-Acetyl-Neuraminic Acid (DB03420)"
"[H][C@@](CI)(CC1=CC=CC=C1)C(O)=O","2-Benzyl-3-Iodopropanoic Acid (DB03441)"
"COC(=O)[C@@H](CC1=CC=C(C=C1)C#CC1=CC=CC=C1)NC(=O)C[C@@H]1CCCN(C1)C(N)=N","(R)—N[2-[1-(aminoiminomethyl)-3-piperidinyl]-1-oxoethyl]-4-(phenylethynyl)-l-phenylalanine methylester (DB03453)"
"[H][C@](NOCCS)(C(O)=O)C1=CNC2=C1C=CC=C2","(1H-indol-3-yl)-(2-mercapto-ethoxyimino)-acetic acid (DB03455)"
"O=CC=CN[C@@H](C(O)=O)[C@](C)(CN1C=CN=N1)[S](=O)=O","Tazobactam Trans-Enamine Intermediate (DB03445)"
"O=C1NN(CCC2=CC=CC=C2)C(=O)C2=C1C=CC=C2","2-Phenethyl-2,3-Dihydro-Phthalazine-1,4-Dione (DB03421)"
"[H][C@]1(CO)O[C@]([H])(OC2=CC=CC(=C2)C(=O)NCC2=CC=CC=C2)[C@]([H])(O)[C@@]([H])(O)[C@@]1([H])O","3-Benzylaminocarbonylphenyl-Alpha-D-Galactoside (DB03446)"
"O[C@H](C#N)C1=CC=C(O)C=C1","(2s)-Hydroxy(4-Hydroxyphenyl)Ethanenitrile (DB03430)"
"CCCCCSCC(=O)SCCNC(=O)CCNC(=O)[C@@H](O)C(C)(C)CO[P@](O)(=O)O[P@@](O)(=O)OC[C@@H]1O[C@H]([C@H](O)[C@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N","3-Thiaoctanoyl-Coenzyme A (DB03415)"
"N[C@@H](CC1=CC=CC=C1)C(O)=O","L-Phenylalanine (DB00120)"
"Nc1ncnc2ccnc12","9-Deazaadenine (DB03506)"
"CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1","Sorafenib (DB00398)"
"CN(C)C(=N)NC(N)=N","Metformin (DB00331)"
"CCC[C@H](N)C(O)=O","2-Amino-Pentanoic Acid (DB03519)"
"COC=C[C@@H](N)C(O)=O","L-2-Amino-4-Methoxy-Cis-but-3-Enoic Acid (DB03611)"
"C[C@@H](O)[C@@H](CO)NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@H](N)CC2=CC=CC=C2)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@H](CC2=CNC3=C2C=CC=C3)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(C)O)C(=O)N1","Octreotide (DB00104)"
"[H][C@]1(CNC(=O)C1)C1=CC=C(OC)C(OC2CCCC2)=C1","(S)-Rolipram (DB03606)"
"N[C@@H](CC1=CC=CC(O)=C1)C(O)=O","Meta-Tyrosine (DB03552)"
"N[C@@H](CC1=CC=CS1)C(O)=O","Beta(2-Thienyl)Alanine (DB03673)"
"CCC=C/CC=C/CC=C/CC=C/CC=C/CCCC(O)=O","Icosapent (DB00159)"
"CN1C(=O)N[C@]2(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C1=O","8,9,10-Trihydroxy-7-Hydroxymethyl-3-Methyl-6-Oxa-1,3-Diaza-Spiro[4.5]Decane-2,4-Dione (DB03479)"
"CN1CC[C@@H]([C@H](O)C1)C1=C(O)C=C(O)C2=C1OC(=CC2=O)C1=CC=CC=C1Cl","Flavopiridol (DB03496)"
"COC(=O)N[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O","1-Deoxy-1-Methoxycarbamido-Beta-D-Glucopyranose (DB03657)"
"C[C@H](O)CC(C)(C)O","(4r)-2-Methylpentane-2,4-Diol (DB03564)"
"OC1=CC=C(C=C1)N=C1/C(=O)NC2=CC=CC=C12","(3e)-3-[(4-Hydroxyphenyl)Imino]-1h-Indol-2(3h)-One (DB03650)"
"[H][C@]1(CCCN1C(=O)[C@]1([H])CCCN1C(=O)OCC1=CC=CC=C1)C=O","Z-Pro-Prolinal (DB03535)"
"O[C@H]1[C@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CN=C2OP(O)(O)=O","6-O-Phosphoryl Inosine Monophosphate (DB03510)"
"OC[C@@H]1O[C@H]([C@H]2O[V](O)(O)(=O)O[C@H]12)N1C=CC(=O)NC1=O","Uridine-2',3'-Vanadate (DB03512)"
"N[C@@H]1CC(=O)NC1=O","3-Aminosuccinimide (DB03487)"
"CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C","Vitamin E (DB00163)"
"O[C@H](CC(O)=O)C([O-])=O","Malate Ion (DB03499)"
"OC(=O)C(=O)C(O)=O","Alpha-Ketomalonic Acid (DB03589)"
"OC(C([O-])=O)C([O-])=O","Tartronate (DB03680)"
"COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O","Indomethacin (DB00328)"
"CN(CCOC1=CC=C(CC2SC(=O)NC2=O)C=C1)C1=CC=CC=N1","Rosiglitazone (DB00412)"
"[H][C@@](CCC(O)=O)(NC(=O)C1=CC=C(C=C1)N(CC#C)CC1=CC=C2NC(N)=NC(=O)C2=C1)C(O)=O","10-Propargyl-5,8-Dideazafolic Acid (DB03541)"
"OC[C@@H]1O[C@H](O[P@](O)(=O)O[P@@](O)(=O)OC[C@@H]2O[C@H]([C@H](O)[C@H]2O)N2C=CC(=O)NC2=O)[C@@H](O)[C@H](O)[C@H]1O","Uridine Diphosphate Galactose (DB03501)"
"O=CNC1CCCCC1","Cyclohexylformamide (DB03559)"
"C[C@@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@@H](O)C(C)(C)CO[P@](O)(=O)O[P@@](O)(=O)OC[C@@H]1O[C@H]([C@H](O)[C@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N","3-Hydroxybutyryl-Coenzyme A (DB03612)"
"CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1","Methadone (DB00333)"
"C1CCN(CC1)C1(CCCCC1)C1=CC=CC=C1","Phencyclidine (DB03575)"
"N[C@@H](CCC(=O)N[C@H](CSCC1=CC=CC=C1I)C(=O)NCC(O)=O)C(O)=O","Gamma-Glutamyl[S-(2-Iodobenzyl)Cysteinyl]Glycine (DB03597)"
"CCCC(C)C1(CC)C(=O)NC(=O)NC1=O","Pentobarbital (DB00312)"
"CCCC(C)C1(CC=C)C(=O)NC(=O)NC1=O","Secobarbital (DB00418)"
"N[C@@H](CCC(=O)N[C@H](CSCC1=CC=CC=C1)C(=O)NCC(O)=O)C(O)=O","S-Benzyl-Glutathione (DB03602)"
"COC1=CC(=O)C2=C(C(COC3=CC=CC=C3)=C(C)N2C)C1=O","5-Methoxy-1,2-Dimethyl-3-(Phenoxymethyl)Indole-4,7-Dione (DB03626)"
"O=C1NC=C(C#C)C(=O)N1","Eniluracil (DB03516)"
"CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12","Amitriptyline (DB00321)"
"CN1CCN(CC1)C1=NC2=CC=CC=C2NC2=C1C=C(C)S2","Olanzapine (DB00334)"
"CN1CCN(CC1)C1=NC2=CC=CC=C2OC2=C1C=C(Cl)C=C2","Loxapine (DB00408)"
"O=N[Fe--](C#N)(C#N)(C#N)(C#N)C#N","Nitroprusside (DB00325)"
"COC1=CC=C(C=C1)[C@@H]1SC2=CC=CC=C2N(CCN(C)C)C(=O)[C@@H]1OC(C)=O","Diltiazem (DB00343)"
"[H][C@]12O[C@](O)([C@H](C)C[C@@H]1OC)C(=O)C(=O)N1CCCC[C@@]1([H])C(=O)O[C@@H]([C@@H](C)[C@@H](O)CC(=O)[C@H](CC)C=C(C)/C[C@H](C)C[C@@H]2OC)C(C)=C[C@@H]1CC[C@H](Cl)[C@@H](C1)OC","Pimecrolimus (DB00337)"
"CC[C@H]1C=C(C)[C@H](O)[C@H](C)C[C@@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@H]2OC)C(=O)C(=O)N2CCCC[C@@H]2C(=O)O[C@H]([C@@H](C)[C@H](O)CC1=O)C(C)=C[C@@H]1CC[C@@H](OC2=CC=C3N(C)C=CC3=C2)[C@@H](C1)OC","L-709,587 (DB03621)"
"OC(=O)CC[C@H](CCC1=CC=CC=C1)NC(=O)CCCCCCC1=CC=CC=C1","6-Phenyl-4(R)-(7-Phenyl-Heptanoylamino)-Hexanoic Acid (DB03471)"
"NC1=NC=NC2=C1N=CN2[C@@H]1O[C@@H](CO[P@](O)(=O)O[P@@](O)(=O)O[P@](O)(=O)O[P@](O)(=O)O[P@@](O)(=O)OC[C@@H]2O[C@H]([C@H](O)[C@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@H]1O","P1-(Adenosine-5'-P5-(Uridine-5')Pentaphosphate (DB03664)"
"[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@]([H])(CC2=CC(=O)CC[C@]12C)SC(C)=O","Spironolactone (DB00421)"
"N[C@@H](CS(O)(=O)=O)C(O)=O","Cysteinesulfonic Acid (DB03661)"
"CCOCCOCCOCCOCCOCCOCCOCCOCCO","2-(2-{2-[2-(2-{2-[2-(2-Ethoxy-Ethoxy)-Ethoxy]-Ethoxy}-Ethoxy)-Ethoxy]-Ethoxy}-Ethoxy)-Ethanol, Polyethyleneglycol Peg400 (DB03556)"
"NC(=O)[C@@H](CC1=CC=C(C=C1)C(F)(F)P(O)(O)=O)NC(=O)[C@@H](CC1=CC=C(C=C1)C(F)(F)P(O)(O)=O)NC(=O)[C@@H](CCC(O)=O)NC(=O)C1=CC=CC=C1","4-Benzoylamino-4-{1-{1-Carbamoyl-2-[4-(Difluoro-Phosphono-Methyl)-Phenyl]-Ethylcarbamoyl}-2-[4-(Difluoro-Phosphono-Methyl)-Phenyl]-Ethylcarbamoyl}-Butyric Acid (DB03483)"
"NC(=O)[C@@H](CS)NC(=O)CCCCCNC(=O)[C@@H](CC1=CC=C(C=C1)C(F)(F)P(O)(O)=O)NC(=O)[C@@H](CC(O)=O)NC(=O)CC1=CC=C(C=C1)C(F)(F)P(O)(O)=O","N-{1-[5-(1-Carbamoyl-2-Mercapto-Ethylcarbamoyl)-Pentylcarbamoyl]-2-[4-(Difluoro-Phosphono-Methyl)-Phenyl]-Ethyl}-3-{2-[4-(Difluoro-Phosphono-Methyl)-Phenyl]-Acetylamino}-Succinamic Acid (DB03557)"
"OC(=O)C(=O)NC1=C(C(O)=O)C2=C(CNCC2)S1","2-(Oxalyl-Amino)-4,5,6,7-Tetrahydro-Thieno[2,3-C]Pyridine-3-Carboxylic Acid (DB03670)"
"NCCCCNCCCN","Spermidine (DB03566)"
"NC(=N)C1=CC=C(NN=NC2=CC=C(C=C2)C(N)=N)C=C1","Diminazene (DB03608)"
"NS(=O)(=O)C1=CC2=C(CCNC2)C=C1","1,2,3,4-Tetrahydro-Isoquinoline-7-Sulfonic Acid Amide (DB03468)"
"C1C2=C(C=CC=C2)C2=NNC(=C12)C1=CC=NC=C1","3-Pyridin-4-Yl-2,4-Dihydro-Indeno[1,2-.C.]Pyrazole (DB03490)"
"OC1CCN(CC1)S(=O)(=O)C1=CC2=C(C=C1)NC(=O)C2=C1/NC2=C(C=CC=C2)[C@]1(C)O","(2e,3s)-3-Hydroxy-5'-[(4-Hydroxypiperidin-1-Yl)Sulfonyl]-3-Methyl-1,3-Dihydro-2,3'-Biindol-2'(1'h)-One (DB03583)"
"CC(C)C(=O)COC1=NC(N)=NC2=C1NC=N2","1-[(2-Amino-6,9-Dihydro-1h-Purin-6-Yl)Oxy]-3-Methyl-2-Butanol (DB03663)"
"C[N+]1=CN([C@@H]2O[C@@H](COP(O)(O)=O)[C@H](O)[C@H]2O)C2=C1C(=O)NC(N)=N2","N7-Methyl-Guanosine-5'-Monophosphate (DB03593)"
"OC(=O)CCCC(O)=O","Glutaric Acid (DB03553)"
"CC1=C(O)C(C=O)=C(COP(O)(O)=O)C=[N+]1[O-]","Pyridoxal-5'-Phosphate-N-Oxide (DB03629)"
"CCC[C@H](NCC1=C(O)C(C)=NC=C1COP(O)(O)=O)C(O)=O","Vitamin B6 Complexed with 2-Amino-Pentanoic Acid (DB03662)"
"CC1=CN([C@H]2C[C@@H](N=[N+]=[N-])[C@H](COP(O)(O)=O)O2)C(=O)NC1=O","3'-Azido-3'-Deoxythymidine-5'-Monophosphate (DB03666)"
"OC[C@@H]1O[C@H](O)[C@@H](O)[C@H](O)[C@H]1S","4-Deoxy-4-Thio-Beta-D-Glucopyranose (DB03584)"
"N[C@@H](CC1=CC(=N)C(O)=CC1=O)C(O)=O","3-(4-Hydroxy-3-Imino-6-Oxo-Cyclohexa-1,4-Dienyl)-Alanine (DB03631)"
"[H][C@](N)(CSSCCC)C=O","S,S-Propylthiocysteine (DB03654)"
"[H][C@@]12CCC(=O)[C@@]1(C)CCC1=C2C=CC2=C1C=CC(O)=C2","Equilenin (DB03515)"
"C[C@H](N)[C@@H](CCCCCC(O)=O)NC(O)=O","7-(Carboxyamino)-8-Amino-Nonanoic Acid (DB03624)"
"OC[C@@H]1O[C@H](O)[C@@H](O)[C@H](O)[C@H]1S","4-Thio-D-Glucose (DB03599)"
"C[N+]1=CN([C@@H]2O[C@@H](CO)[C@H](O)[C@H]2O)C2=C1C(=O)NC(N)=N2","7-Methylguanosine (DB03493)"
"C[Hg+]","Methyl Mercury Ion (DB03674)"
"CC(C)COC1=C([O-])C(=CC=C1)C1=NC2=CC(C(N)=[NH2+])=C(F)C=C2N1","CRA_10950 (DB03494)"
"C[C@@H]1CCCC[C@H]1OC1=CC=CC(c2nc3cc(F)c(cc3n2)C(N)=[NH2+])=C1[O-]","CRA_11092 (DB03555)"
"C1CCCCC1","Cyclohexane (DB03561)"
"NC(=[NH2+])C1=CC=C2NC(=NC2=C1)C1=CC(OC(F)(F)F)=CC=C1[O-]","CRA_9785 (DB03595)"
"NC(=[NH2+])C1=CC=C2NC(=NC2=C1)C1=CC=CC=C1[O-]","CRA_1144 (DB03643)"
"CN(CC1=C(N)C=CC(=C1)C(=O)N(C)CC1=CC2=C(C=CC=C2)N1C)C(C)=O","3-[(Acetyl-Methyl-Amino)-Methyl]-4-Amino-N-Methyl-N-(1-Methyl-1h-Indol-2-Ylmethyl)-Benzamide (DB03534)"
"CC(C)(CO[P@](O)(=O)O[P@@](O)(=O)OC[C@@H]1O[C@H]([C@H](O)[C@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)[C@@H](O)C(=O)NCCC(=O)NCCSCC(=O)C1=CC=C(O)C=C1","4-Hydroxyphenacyl Coenzyme A (DB03613)"
"OC1=C(C=C(C=C1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O","2,4,6-Trinitrophenol (DB03651)"
"CNC(=O)CC[C@H](N)C(O)=O","N5-Methylglutamine (DB03473)"
"OC(=O)[C@@H](CC1=CC=CC=C1)N(CC1=CC=CC(=C1)C(F)(F)F)C(=O)C1=CC=C(Cl)C=C1Cl","(2s)-2-[(2,4-Dichloro-Benzoyl)-(3-Trifluoromethyl-Benzyl)-Amino]-3-Phenyl-Propionic Acid (DB03605)"
"N[C@@H](CCC[C@H](N)C(O)=O)C(O)=O","2,6-Diaminopimelic Acid (DB03590)"
"CN(C)C1=CC2=C(C=C1C)N=C1C(=O)NC(=O)N=C1N2C[C@@H](O)[C@@H](O)[C@H](O)CO[P@](O)(=O)O[P@@](O)(=O)OC[C@@H]1O[C@H]([C@H](O)[C@H]1O)N1C=NC2=C1N=CN=C2N","8-Demethyl-8-Dimethylamino-Flavin-Adenine-Dinucleotide (DB03482)"
"CCCCCCCCCC(O)=O","Decanoic Acid (DB03600)"
"CCCC(O)=O","Butanoic Acid (DB03568)"
"[H][C@](N)(CC1=CC=C(I)C=C1)C(O)=O","Iodo-Phenylalanine (DB03660)"
"[H][C@](NCC1=CC=CC=C1)(C1=CC=CC=C1)P(O)(O)=O","Alpha-Benzyl-Aminobenzyl-Phosphonic Acid (DB03577)"
